Zip,Lat,Long
11102,40.7691001, -73.9299451
11102,40.7700755, -73.9335826
11102,40.7726203, -73.9286959
11102,40.7744252, -73.9351452
11102,40.775858, -73.9296772
11102,40.7744651, -73.9207974
11102,40.7785586, -73.9230863
11102,40.7709267, -73.9156695
11103,40.7644845, -73.920024
11103,40.7680444, -73.9176747
11103,40.7667951, -73.9151194
11103,40.7669906, -73.90669
11103,40.7662996, -73.9115113
11103,40.7642808, -73.9075078
11103,40.7629976, -73.9107521
11103,40.7618538, -73.9144442
11103,40.7601669, -73.9108442
11103,40.7580816, -73.9136474
11103,40.7600351, -73.9175962
11103,40.7557869, -73.9183424
11103,40.7550818, -73.9145861
11104,40.7486945, -73.9282599
11104,40.751921, -73.9197527
11104,40.7447208, -73.9259769
11104,40.7446812, -73.9313755
11104,40.7445099, -73.9241233
11104,40.7442918, -73.9222696
11104,40.7366248, -73.9246582
11104,40.7445685, -73.9165163
11105,40.7764819, -73.9186027
11105,40.7784032, -73.9162557
11105,40.78106, -73.9150773
11105,40.7827906, -73.9129484
11105,40.785288, -73.9056759
11105,40.7787953, -73.9073131
11105,40.7762579, -73.9084659
11105,40.7744206, -73.9133464
11105,40.7722297, -73.9104558
11105,40.7712054, -73.9060641
11105,40.7727587, -73.9035141
11105,40.7757875, -73.8990845
11105,40.7706488, -73.898977
11105,40.7689714, -73.9049147
11106,40.7624148, -73.9434494
11106,40.7627994, -73.9409316
11106,40.7609451, -73.9375143
11106,40.7645328, -73.9337656
11106,40.7602879, -73.9331578
11106,40.7556398, -73.9321381
11106,40.7603485, -73.9292728
11106,40.7537948, -73.9277888
11106,40.7597006, -73.9239256
11106,40.7620307, -73.922041
11106,40.7645436, -73.9273299
11106,40.7667329, -73.9317327
11106,40.7600215, -73.9407223
11106,40.7550147, -73.9219258
11109,40.7512718, -73.9528627
11201,40.700215, -73.9938089
11201,40.6963723, -73.9973735
11201,40.6958143, -73.9947007
11201,40.6951344, -73.9928614
11201,40.6923505, -73.9973434
11201,40.6917206, -73.9916018
11201,40.6932903, -73.9877087
11201,40.697615, -73.9883586
11201,40.6959062, -73.9824665
11201,40.6923209, -73.9835851
